time [ms], AccX [g], AccY [g], AccZ [g], GyroX [deg/s], GyroY [deg/s], GyroZ [deg/s]
124220,0.49,0.10,1.01,43.83,61.19,-108.45
124223,0.47,0.11,1.00,43.39,56.73,-105.47
124226,0.46,0.12,0.99,43.20,52.20,-101.61
124229,0.45,0.13,1.00,43.48,46.69,-97.58
124232,0.43,0.13,0.99,43.69,41.72,-93.39
124235,0.43,0.14,0.99,44.50,36.11,-88.54
124238,0.42,0.13,0.98,44.91,30.53,-84.59
124241,0.43,0.14,0.98,45.86,26.56,-81.20
124245,0.42,0.14,0.98,47.45,23.40,-78.08
124248,0.42,0.13,0.98,48.27,20.98,-76.57
124251,0.42,0.13,0.99,49.98,19.40,-76.63
124254,0.42,0.13,0.98,51.14,17.25,-77.44
124257,0.42,0.14,0.99,51.77,14.78,-79.32
124260,0.41,0.15,0.99,52.17,12.38,-80.86
124263,0.40,0.15,0.98,51.46,8.85,-83.55
124266,0.40,0.15,0.98,50.61,6.14,-85.59
124269,0.39,0.17,0.98,49.01,2.84,-87.32
124272,0.39,0.18,0.98,46.30,-1.05,-88.23
124275,0.39,0.19,0.99,43.37,-5.77,-88.68
124278,0.40,0.19,1.00,40.67,-11.47,-87.96
124282,0.40,0.18,1.01,38.11,-17.83,-87.12
124301,0.40,0.20,1.01,23.85,-59.16,-53.67
124304,0.41,0.22,1.01,22.70,-66.98,-45.20
124307,0.40,0.23,1.00,21.02,-74.70,-35.20
124310,0.39,0.22,0.99,19.40,-82.87,-24.66
124313,0.39,0.22,0.98,17.30,-89.63,-13.47
124316,0.38,0.22,0.99,15.28,-97.31,-1.90
124319,0.38,0.22,0.98,13.51,-105.16,10.25
124322,0.37,0.23,0.97,12.07,-113.25,22.82
124325,0.36,0.22,0.96,11.74,-119.13,35.20
124328,0.37,0.22,0.96,11.62,-125.65,47.23
124331,0.37,0.21,0.94,12.20,-128.50,57.29
124334,0.39,0.20,0.92,12.62,-128.41,66.47
124338,0.40,0.19,0.89,12.58,-124.06,77.67
124341,0.40,0.20,0.89,13.22,-118.99,84.24
124344,0.39,0.19,0.91,14.24,-114.75,90.82
124347,0.39,0.19,0.94,16.52,-111.37,96.07
124350,0.39,0.18,0.96,18.44,-110.78,99.11
124353,0.39,0.17,0.98,19.95,-112.05,99.55
124356,0.41,0.17,0.99,20.88,-115.28,98.09
124359,0.43,0.15,1.01,19.94,-120.14,94.87
124362,0.45,0.14,1.00,18.36,-124.66,90.13
124365,0.46,0.13,1.01,16.32,-128.73,84.94
124368,0.47,0.13,1.01,14.26,-133.30,79.51
124373,0.49,0.13,1.00,12.58,-139.25,71.70
124376,0.49,0.15,0.97,12.38,-141.04,67.84
124379,0.49,0.16,0.94,12.99,-139.01,65.12
124382,0.50,0.17,0.93,13.97,-133.92,64.61
124385,0.50,0.18,0.92,15.37,-128.23,64.53
124388,0.49,0.19,0.91,16.87,-122.31,65.54
124391,0.49,0.20,0.92,18.59,-116.46,68.07
124394,0.48,0.20,0.91,20.18,-112.50,70.65
124397,0.46,0.20,0.93,21.57,-110.43,73.45
124400,0.45,0.20,0.94,21.92,-110.69,75.96
124403,0.45,0.20,0.94,21.07,-112.52,77.29
124406,0.45,0.19,0.94,19.22,-115.54,77.78
124410,0.46,0.17,0.92,15.10,-120.00,76.91
124413,0.47,0.17,0.93,11.51,-122.89,75.23
124416,0.47,0.17,0.92,7.40,-126.58,72.93
124419,0.49,0.16,0.93,3.86,-130.43,69.14
124422,0.50,0.15,0.92,1.34,-134.05,65.29
124425,0.51,0.14,0.92,-0.58,-136.44,60.96
124428,0.53,0.13,0.92,-1.25,-138.06,55.89
124431,0.54,0.12,0.92,-1.41,-138.81,51.99
124434,0.55,0.12,0.92,-0.66,-140.66,47.37
124437,0.55,0.11,0.94,-0.12,-142.58,45.22
124440,0.56,0.12,0.94,1.43,-145.10,43.34
124443,0.56,0.14,0.95,2.32,-148.46,43.06
124448,0.57,0.15,0.92,4.50,-148.41,45.05
124451,0.58,0.15,0.89,6.14,-145.68,47.78
124454,0.58,0.15,0.87,8.29,-139.41,51.32
124457,0.58,0.16,0.87,10.82,-132.78,55.51
124460,0.58,0.16,0.87,13.83,-125.19,59.32
124463,0.58,0.17,0.86,16.73,-118.23,62.48
124466,0.58,0.17,0.87,19.46,-112.70,65.35
124469,0.58,0.18,0.86,21.82,-108.28,66.73
124472,0.58,0.17,0.87,23.08,-104.52,67.03
124475,0.57,0.17,0.86,22.84,-102.12,66.67
124478,0.57,0.17,0.86,21.94,-100.66,65.17
124481,0.57,0.16,0.86,20.11,-101.15,62.87
124485,0.58,0.13,0.86,18.11,-104.26,58.33
124488,0.58,0.12,0.89,17.77,-108.47,54.64
124491,0.58,0.11,0.90,17.82,-114.32,50.68
124494,0.58,0.11,0.89,18.20,-120.87,47.70
124497,0.57,0.11,0.88,18.14,-129.92,45.14
124500,0.57,0.11,0.88,17.48,-139.41,43.37
124503,0.56,0.13,0.89,16.76,-150.37,43.17
124506,0.56,0.12,0.89,15.91,-162.15,43.23
124509,0.56,0.12,0.90,15.33,-175.16,44.12
124512,0.56,0.12,0.91,14.95,-189.27,46.10
124515,0.56,0.12,0.90,14.58,-203.41,48.45
124519,0.58,0.12,0.89,14.09,-217.95,51.45
124523,0.59,0.12,0.87,12.95,-235.59,54.79
124526,0.61,0.12,0.85,12.23,-246.63,57.28
124529,0.62,0.13,0.84,12.18,-257.28,60.70
124532,0.61,0.12,0.83,12.29,-266.79,64.30
124535,0.62,0.13,0.82,12.62,-277.28,69.20
124538,0.62,0.14,0.82,12.81,-287.33,73.64
124541,0.64,0.13,0.81,12.79,-297.37,78.82
124544,0.64,0.13,0.81,12.50,-306.28,82.06
124547,0.66,0.13,0.79,12.33,-314.49,84.41
124550,0.67,0.12,0.78,12.09,-320.11,85.87
124553,0.69,0.11,0.76,12.88,-322.31,86.74
124556,0.70,0.10,0.74,13.28,-321.65,86.47
124560,0.72,0.10,0.71,16.09,-315.41,85.29
124563,0.73,0.09,0.70,18.65,-308.92,83.64
124566,0.74,0.09,0.68,21.51,-298.67,80.85
124569,0.75,0.09,0.66,24.75,-286.24,77.40
124573,0.75,0.08,0.65,28.23,-271.94,73.87
124576,0.75,0.10,0.65,30.82,-257.04,69.81
124579,0.74,0.09,0.65,33.54,-245.22,64.77
124582,0.73,0.10,0.67,33.95,-235.99,59.61
124585,0.73,0.11,0.68,33.98,-230.60,54.38
124588,0.73,0.10,0.69,32.65,-228.63,47.67
124591,0.72,0.10,0.71,30.62,-230.58,42.64
124594,0.72,0.09,0.72,28.78,-235.57,37.48
124598,0.71,0.09,0.71,27.01,-245.94,32.48
124601,0.73,0.09,0.73,26.64,-255.24,29.58
124604,0.75,0.09,0.71,27.01,-263.30,26.99
124607,0.77,0.09,0.70,26.65,-270.32,24.15
124610,0.80,0.09,0.68,26.06,-276.75,21.28
124613,0.83,0.09,0.66,24.62,-281.56,17.70
124616,0.85,0.09,0.64,23.74,-285.02,14.79
124619,0.86,0.08,0.65,23.42,-287.73,12.90
124622,0.86,0.09,0.64,23.86,-291.28,12.24
124625,0.86,0.10,0.64,24.87,-295.77,13.09
124628,0.87,0.12,0.64,25.86,-300.60,15.66
124631,0.87,0.12,0.64,26.58,-306.55,18.42
124636,0.87,0.13,0.63,27.72,-314.32,23.54
124639,0.87,0.12,0.63,28.41,-320.66,27.31
124642,0.88,0.12,0.58,29.22,-325.88,31.08
124645,0.88,0.12,0.57,29.98,-327.94,35.14
124648,0.88,0.11,0.56,30.69,-329.76,39.16
124651,0.87,0.13,0.54,30.65,-330.86,44.53
124654,0.87,0.13,0.55,31.25,-330.32,49.35
124657,0.86,0.12,0.54,31.43,-329.02,54.41
124660,0.86,0.11,0.54,32.33,-327.95,58.53
124663,0.86,0.11,0.54,33.05,-327.76,62.28
124666,0.86,0.11,0.55,34.35,-327.59,64.30
124669,0.86,0.11,0.54,35.31,-327.33,65.51
124673,0.86,0.10,0.51,37.40,-324.26,65.98
124676,0.86,0.10,0.49,38.91,-319.54,65.17
124679,0.87,0.09,0.46,39.25,-313.41,63.31
124682,0.89,0.10,0.42,38.95,-305.92,59.22
124685,0.93,0.10,0.39,37.13,-294.55,53.02
124688,0.96,0.09,0.35,34.76,-280.60,44.76
124691,1.00,0.07,0.34,32.56,-265.41,34.64
124695,1.02,0.06,0.33,31.28,-249.91,23.45
124698,1.02,0.06,0.35,31.05,-235.01,11.16
124701,1.04,0.05,0.35,31.68,-220.89,-1.06
124704,1.04,0.05,0.38,32.79,-209.25,-13.46
124707,1.04,0.06,0.41,34.01,-199.56,-24.14
124711,1.04,0.07,0.42,35.53,-189.07,-38.42
124714,1.04,0.08,0.44,35.94,-184.00,-46.95
124717,1.04,0.10,0.44,35.43,-178.93,-54.34
124720,1.03,0.11,0.46,34.79,-176.37,-59.73
124723,1.03,0.12,0.46,33.48,-172.83,-64.04
124726,1.04,0.14,0.46,31.95,-168.70,-65.79
124729,1.03,0.14,0.46,29.27,-164.79,-67.06
124732,1.03,0.15,0.46,27.39,-161.37,-66.84
124735,1.03,0.16,0.47,25.45,-158.11,-66.39
124738,1.03,0.17,0.47,23.59,-156.18,-64.45
124741,1.01,0.18,0.47,21.88,-153.66,-62.01
124745,1.00,0.19,0.47,19.07,-151.88,-56.75
124749,0.99,0.19,0.46,16.44,-150.44,-52.33
124752,0.98,0.19,0.46,13.83,-150.98,-47.23
124755,0.97,0.19,0.45,11.51,-151.27,-42.39
124758,0.96,0.18,0.45,9.94,-153.28,-37.90
124761,0.95,0.17,0.47,8.47,-156.34,-33.59
124764,0.93,0.16,0.47,7.91,-162.35,-29.68
124767,0.93,0.15,0.46,7.65,-170.00,-26.62
124770,0.93,0.14,0.46,7.37,-178.38,-24.08
124773,0.95,0.14,0.44,5.75,-186.57,-22.75
124776,0.96,0.14,0.41,3.69,-194.99,-22.20
124779,0.97,0.14,0.40,2.09,-201.63,-22.45
124783,0.99,0.15,0.39,-0.02,-210.63,-22.57
124786,0.99,0.14,0.38,-0.58,-217.45,-22.98
124789,1.00,0.15,0.37,-1.10,-224.06,-23.73
124792,1.01,0.16,0.37,-0.98,-229.57,-23.41
124795,1.01,0.16,0.36,-1.53,-235.21,-23.49
124798,1.02,0.17,0.35,-2.02,-240.61,-23.07
124801,1.02,0.18,0.35,-2.75,-245.42,-22.43
124804,1.01,0.18,0.35,-3.50,-249.74,-21.50
124807,1.02,0.18,0.34,-3.86,-255.01,-20.05
124810,1.01,0.17,0.34,-3.68,-260.61,-18.72
124813,1.02,0.17,0.34,-3.12,-265.39,-17.46
124816,1.03,0.17,0.33,-2.58,-271.02,-16.59
124820,1.03,0.16,0.29,-2.18,-273.02,-16.68
124823,1.03,0.15,0.27,-1.82,-270.89,-15.72
124827,1.03,0.15,0.27,-1.96,-266.66,-14.63
124830,1.03,0.16,0.26,-1.77,-261.65,-13.30
124833,1.02,0.17,0.25,-2.28,-255.44,-10.98
124836,1.02,0.17,0.24,-2.37,-248.06,-8.75
124839,1.01,0.17,0.22,-3.71,-239.68,-6.55
124842,1.03,0.17,0.20,-4.98,-230.78,-5.18
124845,1.05,0.17,0.20,-6.46,-222.40,-5.03
124848,1.07,0.15,0.17,-8.61,-213.82,-7.38
124851,1.09,0.13,0.17,-9.96,-205.99,-11.24
124854,1.09,0.12,0.17,-10.32,-199.05,-16.84
124858,1.09,0.11,0.17,-9.31,-192.67,-24.33
124861,1.07,0.12,0.18,-7.59,-190.84,-28.71
124864,1.08,0.12,0.18,-5.83,-188.73,-32.14
124867,1.07,0.12,0.18,-3.02,-186.66,-34.23
124870,1.06,0.13,0.16,-0.03,-185.15,-35.33
124873,1.07,0.14,0.18,2.15,-182.78,-36.83
124876,1.07,0.14,0.16,4.99,-178.49,-37.97
124879,1.08,0.14,0.16,8.85,-173.04,-39.78
124882,1.07,0.15,0.15,13.10,-167.71,-41.27
124885,1.06,0.15,0.15,15.95,-162.69,-42.40
124888,1.07,0.15,0.14,17.45,-157.21,-43.87
124907,1.04,0.14,0.19,21.48,-159.02,-53.47
124910,1.01,0.13,0.19,22.72,-165.41,-54.80
124913,1.00,0.14,0.17,24.30,-172.37,-55.81
124916,1.00,0.14,0.13,25.74,-177.31,-56.69
124919,1.00,0.14,0.11,27.14,-181.39,-57.00
124922,1.00,0.14,0.08,28.30,-182.57,-57.26
124925,1.00,0.12,0.06,30.41,-182.11,-58.43
124929,1.00,0.12,0.04,33.40,-179.54,-59.41
124932,1.00,0.13,0.05,36.32,-176.12,-60.97
124935,1.00,0.12,0.03,40.17,-171.88,-62.54
124938,1.00,0.11,0.03,44.35,-167.13,-64.68
124941,1.00,0.13,0.03,48.04,-161.71,-67.27
124945,1.01,0.13,0.04,51.80,-155.91,-72.14
124948,1.00,0.14,0.04,54.26,-152.57,-76.08
124951,1.01,0.14,0.04,55.30,-149.33,-81.10
124954,1.01,0.15,0.05,55.92,-146.99,-86.83
124957,1.01,0.14,0.07,56.12,-146.64,-94.37
124960,1.02,0.16,0.05,54.84,-146.03,-102.39
124963,1.04,0.15,0.05,51.95,-145.85,-111.68
124966,1.04,0.16,0.03,48.96,-145.83,-121.79
124969,1.05,0.14,0.05,75.36,-131.50,-125.91
124972,0.82,-0.10,-2.00,52.58,-287.83,212.54
124975,1.88,-0.33,0.50,37.34,-252.76,116.06
124980,1.37,-0.07,-0.59,44.23,-192.78,39.66
124983,1.23,-0.16,-0.23,55.95,-140.02,-5.27
124986,1.14,-0.31,-0.88,67.02,-228.03,103.52
124989,1.13,-0.15,-0.84,74.73,-152.06,31.57
124992,1.34,0.36,0.77,76.03,-187.85,66.74
124995,1.07,0.37,-0.34,80.52,-174.76,38.13
124998,1.26,0.15,0.47,83.31,-166.69,26.16
125001,1.05,0.11,-0.42,84.99,-173.13,13.25
125004,1.23,0.10,0.15,85.66,-164.76,4.99
125007,1.11,0.15,-0.37,84.30,-165.12,-2.11
125010,1.17,0.24,0.05,80.21,-148.72,0.41
125013,1.07,0.30,-0.26,71.16,-139.74,3.45
125017,1.61,2.00,-1.06,51.65,-45.39,124.67
125020,1.01,-0.23,-0.32,44.88,-24.92,54.44
125023,1.37,1.39,-0.59,37.95,12.70,55.32
125026,0.94,-0.16,-0.05,34.12,32.58,61.54
125029,1.13,0.68,-0.17,30.99,56.87,94.15
125032,0.95,0.62,0.98,31.13,-26.90,88.28
125035,1.04,0.65,-0.19,26.75,-13.08,86.53
125038,1.08,0.45,-0.03,16.90,7.60,86.50
125041,1.05,0.40,-0.04,11.66,-20.21,86.62
125044,1.06,0.25,-0.08,6.61,-0.90,86.51
125047,1.01,0.25,0.09,3.07,-11.62,89.31
125050,1.06,0.31,0.00,0.21,-9.31,90.10
125055,1.05,0.09,-0.07,-0.09,-8.61,85.61
125058,1.04,0.10,-0.03,-1.25,-10.11,86.22
125061,1.06,0.17,-0.04,-2.51,-9.97,86.32
125064,1.06,0.19,-0.05,-2.86,-10.60,86.32
125067,1.05,0.17,-0.09,-2.57,-12.34,86.32
125070,1.06,0.14,-0.06,-1.48,-9.07,85.45
125073,1.04,0.12,-0.08,0.03,-10.95,85.72
125076,1.01,0.12,-0.03,2.44,-15.92,86.30
125079,1.06,-0.03,-0.17,3.63,0.56,85.40
125082,0.90,0.10,0.20,9.57,-14.34,91.00
125085,1.06,0.08,-0.15,14.14,-2.35,97.55
125088,1.00,0.14,-0.16,20.44,-1.99,100.54
125092,0.92,0.01,0.02,30.21,-9.60,112.35
125095,0.89,-0.04,0.10,36.01,-13.04,123.16
125098,0.88,-0.09,0.12,42.26,-16.79,130.61
125101,0.92,0.05,-0.06,47.80,-16.28,141.67
125104,0.94,0.05,-0.04,50.43,-16.89,150.12
125107,0.92,0.08,-0.08,49.68,-21.74,154.04
125110,0.95,0.11,-0.07,50.32,-20.78,164.16
125113,0.96,0.10,-0.07,49.10,-19.92,170.79
125116,0.99,0.14,-0.13,48.99,-20.05,176.04
125119,1.02,0.22,-0.19,44.20,-19.28,177.87
125122,1.01,0.21,-0.21,43.04,-14.70,184.94
125125,1.02,0.10,-0.03,41.33,-16.75,188.35
125129,1.02,0.01,-0.00,38.70,-20.84,183.34
125132,1.05,0.11,-0.12,35.10,-15.04,187.26
125135,1.09,0.20,-0.17,32.43,-11.66,189.43
125138,1.03,0.05,0.06,26.88,-20.89,187.64
125141,1.01,-0.03,0.11,24.70,-27.59,188.33
125144,1.01,-0.03,0.17,23.16,-35.97,189.74
125148,1.01,-0.05,0.13,19.92,-44.06,189.83
125151,1.04,-0.05,0.13,18.69,-48.70,190.03
125154,1.03,-0.08,0.16,14.65,-54.73,188.36
125157,1.00,-0.10,0.17,11.11,-59.13,186.79
125160,1.04,0.01,0.09,8.49,-61.70,190.21
125163,1.02,0.08,0.01,5.27,-69.10,194.68
125167,1.08,0.09,-0.06,2.07,-72.89,194.65
125170,1.06,0.07,0.01,-2.73,-74.18,194.91
125173,1.05,0.05,0.01,-6.43,-76.52,195.80
125176,1.06,0.05,-0.02,-8.80,-78.24,195.23
125179,2.00,-1.91,-2.00,-25.09,139.62,84.90
125182,0.20,-0.40,-0.33,-28.38,33.98,-38.07
125185,0.86,-0.53,1.52,16.23,93.60,51.23
125188,1.28,0.50,-0.35,20.85,127.68,32.32
125191,0.63,0.33,-0.43,29.89,133.10,28.68
125194,1.08,0.32,0.30,30.53,129.91,22.79
125197,1.19,1.18,0.77,37.28,74.52,59.00
125200,0.91,-1.12,0.84,11.07,-6.03,-28.17
125204,1.20,-0.33,0.45,-14.17,-51.13,-36.31
125207,1.23,-0.36,-0.60,-20.58,11.68,-3.36
125210,1.20,-0.12,0.01,-23.47,13.47,8.90
125213,0.97,0.08,-0.10,-27.68,-12.41,-3.50
125216,1.10,0.09,-0.11,-22.58,9.40,7.54
125219,1.05,-0.04,-0.05,-21.60,-5.28,-2.42
125222,1.07,-0.02,-0.02,-18.69,2.72,3.11
125225,1.06,0.05,-0.10,-18.12,-1.51,0.57
125228,1.09,0.00,-0.04,-13.85,2.70,3.17
125231,1.05,-0.00,-0.05,-13.12,-1.53,0.38
125234,1.08,-0.01,-0.06,-12.61,0.18,1.52
125237,1.04,0.03,-0.10,-17.91,0.44,1.84
125242,1.08,-0.00,-0.03,-21.51,-0.03,1.66
125245,1.05,-0.01,-0.08,-21.25,0.55,3.14
125248,1.07,-0.02,-0.05,-21.80,0.35,1.37
125251,1.06,-0.03,-0.04,-21.83,-1.04,1.12
125254,1.06,-0.01,-0.05,-21.93,-1.34,0.50
125257,1.04,0.01,-0.06,-19.12,0.88,2.83
125259,1.08,0.01,-0.09,-19.82,-0.15,1.45
125262,1.05,0.03,-0.13,-22.64,0.01,1.26
125265,1.07,0.01,-0.09,-22.55,0.96,2.41
125268,1.05,0.01,-0.07,-20.69,2.11,3.29
125271,1.08,-0.01,-0.04,-16.99,-1.59,0.61
125274,1.05,0.01,-0.10,-14.95,1.27,2.30
125279,1.07,-0.01,-0.06,-14.25,-0.41,1.19
125282,1.06,-0.01,-0.08,-12.57,-0.28,1.05
125285,1.06,-0.01,-0.06,-11.19,-0.23,0.93
125288,1.06,0.00,-0.08,-9.13,-0.20,0.70
125291,1.06,-0.00,-0.07,-7.19,0.09,0.93
125294,1.06,-0.00,-0.07,-4.98,-0.08,0.68
125296,1.07,0.00,-0.07,-3.53,0.18,0.57
125299,1.06,0.00,-0.07,-2.38,-0.18,0.18
125302,1.06,-0.00,-0.06,-1.33,-0.11,0.18
125305,1.06,-0.01,-0.07,-0.41,-0.32,-0.01
125308,1.06,-0.00,-0.06,0.06,0.38,-0.10
125311,1.06,-0.01,-0.07,0.01,0.05,-0.02
125315,1.06,-0.01,-0.06,0.32,0.03,0.03
125318,1.06,-0.00,-0.07,-0.06,-0.06,0.38
125321,1.06,-0.01,-0.07,0.04,0.05,-0.13
125324,1.06,-0.01,-0.06,-0.12,-0.20,-0.05
125327,1.06,-0.01,-0.06,0.20,-0.34,-0.13
125330,1.06,-0.01,-0.08,0.35,-0.00,-0.40
125333,1.06,-0.00,-0.07,0.29,-0.06,0.15
125336,1.07,-0.01,-0.07,1.11,-0.44,-0.25
125339,1.06,0.01,-0.07,2.03,-0.57,-0.62
125342,1.07,-0.01,-0.07,4.61,0.24,-0.39
125345,1.06,-0.00,-0.04,7.27,-0.84,-0.62
125348,1.07,0.00,-0.07,10.43,-0.12,-0.86
125352,1.06,0.00,-0.07,14.12,0.38,-0.60
125355,1.06,0.01,-0.06,16.95,0.38,-0.68
125358,1.03,0.05,-0.14,15.78,6.29,4.93
125361,1.01,0.11,-0.23,7.37,25.08,22.30
125364,1.05,0.07,-0.20,6.85,47.10,39.05
125367,1.03,0.05,-0.13,10.70,56.20,46.61
125370,1.10,0.04,-0.16,8.50,62.11,49.81
125373,1.06,0.01,-0.14,4.69,62.76,50.24
125376,1.67,-0.88,0.93,-13.19,-60.84,-3.41
125379,1.48,0.40,1.43,11.45,3.43,4.83
125382,0.55,-0.16,-0.49,7.69,4.30,-6.37
125385,1.04,0.01,0.06,-0.02,-3.57,1.03
125388,1.07,-0.02,-0.21,0.88,7.79,1.11
125392,1.11,0.02,-0.24,-0.25,-1.05,1.58
125395,1.08,-0.06,0.18,0.38,-0.87,-1.76
125398,1.03,0.02,-0.22,-0.14,-0.17,0.79
125401,1.06,-0.01,-0.00,0.38,1.14,-0.66
125404,1.04,-0.02,-0.10,0.17,-1.34,-0.25
125407,1.09,0.00,-0.07,0.01,1.30,0.01
125410,1.06,-0.03,-0.01,0.07,-2.34,-0.48
125413,1.07,-0.02,-0.06,-0.02,0.73,0.38
125416,1.07,0.00,-0.06,0.06,-0.44,0.03
125419,1.06,-0.02,-0.06,0.14,-0.12,-0.11
125422,1.08,-0.01,-0.04,0.01,-0.41,0.16
125425,1.07,-0.01,-0.07,-0.00,-0.90,0.21
125429,1.06,-0.03,-0.06,0.17,-0.75,-0.19
125432,1.06,-0.02,-0.06,-0.23,0.64,0.06
125435,1.06,-0.02,-0.07,0.04,-0.34,-0.01
125438,1.06,-0.02,-0.06,-0.05,0.05,-0.33
125441,1.07,-0.02,-0.07,-0.08,-0.64,-0.14
125444,1.06,-0.01,-0.07,0.38,-0.23,-0.14
125447,1.06,-0.01,-0.05,-0.05,-0.20,-0.05
125450,1.06,-0.01,-0.07,0.15,-0.20,-0.10
125453,1.06,-0.02,-0.05,0.07,-0.11,0.15
125456,1.06,-0.01,-0.06,-0.34,0.01,-0.40
125459,1.07,-0.01,-0.05,0.11,-0.12,0.12
125462,1.06,-0.01,-0.05,-0.05,-0.46,-0.16
125465,1.07,-0.01,-0.06,0.03,-0.32,-0.17
125469,1.07,-0.02,-0.07,0.33,-0.24,0.28
125472,1.06,-0.02,-0.05,-0.23,-0.35,-0.10
125475,1.06,-0.02,-0.06,-0.00,-0.31,-0.07
125478,1.06,-0.02,-0.05,0.18,0.08,-0.54
125481,1.06,-0.01,-0.06,0.09,-0.03,-0.11
125484,1.06,-0.01,-0.05,0.11,-0.31,0.09
125487,1.06,-0.01,-0.06,-0.06,-0.00,-0.14
125490,1.06,-0.02,-0.05,0.18,-0.50,-0.25
125493,1.06,-0.01,-0.06,-0.18,-0.38,-0.05
125496,1.06,-0.01,-0.07,0.17,-0.38,-0.16
125499,1.06,-0.02,-0.05,0.01,-0.12,-0.23
125502,1.06,-0.02,-0.06,-0.14,-0.35,-0.10
125521,1.06,-0.01,-0.06,-0.12,-0.46,-0.14
125524,1.06,-0.00,-0.06,0.06,-0.26,-0.40
125527,1.07,-0.02,-0.05,0.14,-0.20,-0.14
125530,1.06,-0.02,-0.06,0.14,-0.43,-0.49
125533,1.06,-0.01,-0.06,0.03,-0.32,-0.43
125536,1.06,-0.02,-0.07,0.26,-0.20,-0.22
125539,1.06,-0.02,-0.06,0.32,-0.18,-0.49
125542,1.06,-0.01,-0.07,-0.11,-0.35,-0.33
125545,1.06,-0.02,-0.06,-0.05,-0.29,-0.13
125548,1.06,-0.01,-0.05,0.12,0.11,-0.22
125551,1.06,-0.01,-0.06,0.23,-0.63,-0.25
125554,1.06,-0.01,-0.05,0.04,-0.14,-0.30
125558,1.07,-0.02,-0.06,0.18,-0.14,-0.33
125561,1.07,-0.02,-0.06,0.12,0.18,-0.01
125564,1.05,-0.02,-0.07,-0.17,0.17,-0.28
125567,1.07,-0.02,-0.06,0.21,-0.21,-0.52
125570,1.05,-0.01,-0.08,-0.03,0.18,-0.08
125573,1.07,-0.02,-0.06,0.24,-0.44,-0.40
125576,1.06,-0.01,-0.06,0.12,-0.57,-0.36
125579,1.07,-0.01,-0.04,-0.08,-0.09,0.01
125582,1.06,-0.01,-0.06,0.04,-0.34,-0.37
125584,1.06,-0.01,-0.06,0.18,-0.09,0.01
125587,1.06,-0.02,-0.05,0.03,-0.18,-0.07
125590,1.06,-0.01,-0.07,0.11,-0.31,-0.13
125595,1.05,-0.00,-0.06,0.06,0.01,0.25
125598,1.08,-0.05,0.00,-0.05,-0.50,-0.57
125601,1.10,-0.02,-0.06,-0.22,0.73,0.01
125603,1.08,-0.00,-0.05,-0.15,-0.37,0.33
125606,1.07,-0.02,-0.03,0.01,-0.02,-0.20
125609,1.07,-0.01,-0.05,0.26,0.38,0.06
125612,1.08,-0.01,-0.05,0.17,-0.46,-0.26
125615,1.06,-0.02,-0.04,-0.18,0.20,-0.08
125618,1.07,0.00,-0.05,0.06,-0.53,-0.19
125621,1.07,-0.02,-0.04,0.14,-0.63,-0.68
125624,1.06,-0.01,-0.07,-0.25,-0.52,-0.16
125627,1.05,-0.01,-0.05,-0.06,0.03,-0.26
125631,1.07,-0.02,-0.07,0.11,-0.38,-0.10
125634,1.06,-0.01,-0.05,-0.06,-0.15,-0.52
125637,1.06,-0.01,-0.06,-0.11,-0.47,-0.16
125640,1.06,-0.01,-0.06,-0.00,-0.14,-0.04
125643,1.06,-0.02,-0.06,-0.20,0.01,-0.22
125646,1.06,-0.02,-0.06,0.04,-0.38,-0.22
125649,1.07,-0.01,-0.07,0.24,0.09,-0.33
125652,1.06,-0.02,-0.06,0.09,-0.11,0.01
125655,1.06,-0.01,-0.06,0.12,-0.47,-0.36
125658,1.06,-0.01,-0.05,0.20,0.21,-0.02
125661,1.07,-0.02,-0.06,-0.18,-0.24,0.33
125664,1.06,-0.01,-0.06,0.11,-0.17,0.03
125667,1.06,-0.01,-0.05,0.01,-0.28,0.09
125671,1.06,-0.01,-0.05,0.23,-0.11,-0.02
125674,1.06,-0.01,-0.05,-0.40,-0.34,-0.20
125677,1.06,-0.01,-0.06,-0.11,-0.31,-0.02
125680,1.06,-0.01,-0.05,0.17,-0.37,0.06
125683,1.06,-0.02,-0.06,0.15,-0.67,0.13
125686,1.06,-0.02,-0.05,0.14,-0.21,0.04
125689,1.06,-0.01,-0.06,0.01,-0.09,0.18
125692,1.06,-0.02,-0.06,0.36,0.17,-0.20
125695,1.06,-0.01,-0.06,-0.06,-0.05,-0.14
125698,1.06,-0.01,-0.06,0.29,-0.57,0.09
125701,1.06,-0.01,-0.06,0.01,0.06,0.32
125704,1.06,-0.02,-0.05,0.04,-0.11,-0.05
125708,1.06,-0.01,-0.06,-0.06,0.08,-0.19
125711,1.07,-0.01,-0.06,0.18,0.17,0.12
125714,1.06,-0.01,-0.06,-0.15,-0.53,0.18
125717,1.06,-0.01,-0.06,-0.08,-0.35,-0.28
125720,1.06,-0.01,-0.07,0.35,-0.03,0.16
125723,1.06,-0.01,-0.06,0.04,-0.00,0.03
125726,1.06,-0.02,-0.06,0.09,-0.49,-0.23
125729,1.06,-0.01,-0.06,0.24,0.12,-0.08
125732,1.06,-0.02,-0.07,0.24,-0.17,0.19
125735,1.07,-0.02,-0.06,0.21,-0.08,0.15
125738,1.06,-0.01,-0.06,-0.09,-0.12,-0.01
