time [ms], AccX [g], AccY [g], AccZ [g], GyroX [deg/s], GyroY [deg/s], GyroZ [deg/s]
119177,0.95,0.02,0.52,-38.46,323.63,26.47
119180,0.97,0.01,0.53,-40.80,337.10,16.25
119183,0.97,0.00,0.53,-42.02,349.76,5.55
119186,0.96,0.01,0.53,-42.98,362.08,-5.88
119189,0.94,0.01,0.55,-42.76,373.89,-18.26
119192,0.93,0.01,0.56,-42.26,384.11,-29.67
119195,0.91,0.02,0.57,-40.89,390.67,-39.99
119199,0.88,0.03,0.59,-37.38,397.60,-52.63
119202,0.85,0.04,0.60,-35.13,400.21,-59.43
119206,0.82,0.05,0.60,-33.68,399.94,-64.68
119209,0.79,0.06,0.62,-33.13,397.98,-67.01
119212,0.77,0.06,0.62,-34.70,393.30,-67.82
119215,0.74,0.07,0.63,-37.59,388.47,-67.29
119218,0.72,0.06,0.61,-41.56,383.50,-64.49
119221,0.72,0.06,0.62,-45.12,380.20,-60.75
119224,0.71,0.05,0.63,-49.79,378.06,-56.46
119227,0.71,0.05,0.63,-54.38,375.42,-51.97
119230,0.71,0.04,0.64,-58.72,371.85,-47.50
119234,0.72,0.03,0.66,-62.81,366.53,-43.70
119238,0.74,0.01,0.66,-68.06,358.44,-39.30
119241,0.76,0.01,0.66,-71.25,353.62,-36.66
119244,0.77,0.00,0.65,-74.44,350.88,-33.75
119247,0.77,0.00,0.67,-77.45,348.78,-29.93
119250,0.76,0.01,0.67,-80.54,347.05,-24.49
119253,0.72,0.02,0.68,-84.05,344.95,-17.18
119256,0.70,0.03,0.70,-86.67,343.66,-8.66
119259,0.68,0.04,0.71,-88.93,342.06,1.22
119262,0.67,0.07,0.72,-90.05,341.05,11.57
119265,0.66,0.08,0.76,-89.57,340.44,22.13
119268,0.65,0.10,0.78,-86.11,339.48,32.22
119271,0.64,0.11,0.81,-78.84,337.80,40.85
119276,0.63,0.10,0.82,-64.67,336.87,50.33
119279,0.63,0.09,0.82,-53.59,339.28,55.60
119282,0.65,0.06,0.81,-43.93,345.30,57.67
119285,0.67,0.03,0.81,-35.21,352.49,57.63
119288,0.68,0.01,0.80,-28.75,362.49,55.37
119291,0.67,-0.01,0.79,-23.25,373.21,50.97
119294,0.66,-0.02,0.79,-19.09,382.90,45.80
119297,0.65,-0.02,0.80,-15.73,391.02,39.81
119300,0.65,-0.02,0.82,-13.07,399.97,33.11
119303,0.66,-0.03,0.83,-10.63,408.43,26.45
119306,0.67,-0.03,0.84,-8.96,415.72,17.66
119310,0.66,-0.01,0.87,-8.28,421.14,6.51
119313,0.63,0.01,0.89,-8.93,420.35,-0.83
119316,0.58,0.03,0.91,-11.51,415.72,-5.39
119319,0.54,0.05,0.92,-16.00,406.44,-7.94
119322,0.51,0.06,0.94,-22.54,394.23,-8.23
119326,0.47,0.07,0.94,-29.67,379.07,-6.59
119329,0.44,0.08,0.94,-38.93,362.32,-2.51
119332,0.42,0.08,0.95,-48.51,343.69,3.90
